rec,sdg_region,m49_level1_region,m49_level2_region,mdg,ldc,lldc
"Africa, regional",,,,,,
"Central Asia, regional",,,,,,
States Ex-Yugoslavia unspecified,513,150,39,,,
"Bilateral, unspecified",,,,,,
"South of Sahara, regional",202,202,,738,,
"Asia, regional",,142,,,,
"America, regional",,,,,,
"Europe, regional",513,150,,,,
"North of Sahara, regional",747,15,15,746,,
"Oceania, regional",543,9,,543,,
"South America, regional",419,419,5,419,,
"Western Africa, regional",202,202,11,738,,
"Caribbean & Central America, regional",419,419,,419,,
"Caribbean, regional",419,419,29,419,,
"Eastern Africa, regional",202,202,14,738,,
"Middle East, regional",747,,,,,
"South Asia, regional",62,142,34,34,,
"Far East Asia, regional",753,142,30,,,
"South & Central Asia, regional",62,,,,,
"Central America, regional",419,419,13,419,,
"Southern Africa, regional",202,202,18,738,,
"Melanesia, regional",543,9,54,543,,722
Multilateral Unallocated,,,,,,
Bilateral Unallocated,,,,,,
Regional,,,,,,